pose,joint,mean,std,learned_multiplier,min_angle,max_angle
Boat pose,left_shoulder_angle,56.5207,32.3454,1.4616,9.2438,103.7975
Boat pose,left_elbow_angle,154.1822,24.9325,2.4839,92.2518,216.1125
Boat pose,right_shoulder_angle,58.6091,32.9627,1.5101,8.8336,108.3845
Boat pose,right_elbow_angle,155.5410,21.7807,2.8724,92.9790,218.1030
Boat pose,left_hip_angle,66.8526,29.5257,1.4707,23.4304,110.2748
Boat pose,left_knee_angle,155.6399,29.3058,2.0483,95.6126,215.6672
Boat pose,right_hip_angle,66.2399,30.2175,1.5137,20.5011,111.9786
Boat pose,right_knee_angle,153.9663,30.8351,1.9015,95.3323,212.6004
Chakrasana,left_shoulder_angle,147.4463,19.3749,1.6336,115.7951,179.0975
Chakrasana,left_elbow_angle,157.7185,21.8670,0.9068,137.8885,177.5485
Chakrasana,right_shoulder_angle,146.8441,24.5635,1.4308,111.6984,181.9897
Chakrasana,right_elbow_angle,159.0693,17.1684,1.1840,138.7416,179.3970
Chakrasana,left_hip_angle,100.6502,26.0665,2.4751,36.1329,165.1676
Chakrasana,left_knee_angle,135.3732,24.3404,1.6335,95.6136,175.1329
Chakrasana,right_hip_angle,103.3711,27.7402,1.7156,55.7791,150.9632
Chakrasana,right_knee_angle,137.3779,24.8485,1.1570,108.6275,166.1282
Dandasana,left_shoulder_angle,51.5129,67.7080,0.7427,1.2290,101.7969
Dandasana,left_elbow_angle,158.4738,23.6477,0.8282,138.8898,178.0579
Dandasana,right_shoulder_angle,50.1249,67.8067,0.6899,3.3439,96.9060
Dandasana,right_elbow_angle,157.8334,26.5958,0.7395,138.1653,177.5015
Dandasana,left_hip_angle,105.1269,23.8458,1.1094,78.6731,131.5807
Dandasana,left_knee_angle,164.4778,23.7533,0.5986,150.2592,178.6964
Dandasana,right_hip_angle,104.4766,24.9517,1.1062,76.8757,132.0776
Dandasana,right_knee_angle,166.4131,24.4762,0.5144,153.8227,179.0036
Gomukhasana,left_shoulder_angle,55.6329,60.0353,2.0145,-65.3057,176.5715
Gomukhasana,left_elbow_angle,103.4638,58.2403,1.4055,21.6070,185.3207
Gomukhasana,right_shoulder_angle,83.9196,68.0982,1.4012,-11.4972,179.3365
Gomukhasana,right_elbow_angle,90.9733,59.7272,1.3524,10.2005,171.7462
Gomukhasana,left_hip_angle,113.6359,56.2775,1.1164,50.8087,176.4631
Gomukhasana,left_knee_angle,85.8170,47.9048,1.4475,16.4763,155.1577
Gomukhasana,right_hip_angle,105.0463,55.5993,1.2952,33.0328,177.0599
Gomukhasana,right_knee_angle,88.2958,45.0414,1.2931,30.0515,146.5402
King pigeon,left_shoulder_angle,114.4923,56.1658,1.6178,23.6298,205.3549
King pigeon,left_elbow_angle,94.1527,50.1809,1.4977,18.9985,169.3069
King pigeon,right_shoulder_angle,110.9673,60.2627,1.2604,35.0144,186.9203
King pigeon,right_elbow_angle,96.9055,45.1762,1.7732,16.7972,177.0139
King pigeon,left_hip_angle,110.3384,19.8649,1.8629,73.3327,147.3441
King pigeon,left_knee_angle,50.4605,31.9781,1.2539,10.3636,90.5574
King pigeon,right_hip_angle,107.0430,26.6130,1.3252,71.7750,142.3111
King pigeon,right_knee_angle,55.0623,37.7347,1.6201,-6.0706,116.1952
Parsvottanasana,left_shoulder_angle,84.4498,48.4735,1.2876,22.0335,146.8662
Parsvottanasana,left_elbow_angle,132.9532,50.7464,2.0602,28.4030,237.5034
Parsvottanasana,right_shoulder_angle,85.0014,48.0535,1.3989,17.7794,152.2234
Parsvottanasana,right_elbow_angle,135.1460,46.2710,2.2464,31.2035,239.0885
Parsvottanasana,left_hip_angle,54.5336,36.3665,1.1620,12.2775,96.7897
Parsvottanasana,left_knee_angle,169.0097,16.6463,0.6478,158.2262,179.7932
Parsvottanasana,right_hip_angle,56.0656,37.5066,1.1148,14.2540,97.8772
Parsvottanasana,right_knee_angle,168.7776,22.3023,0.4967,157.6999,179.8553
Paschimottanasana,left_shoulder_angle,85.5913,41.2557,1.7167,14.7676,156.4150
Paschimottanasana,left_elbow_angle,137.1871,32.8616,1.4966,88.0066,186.3675
Paschimottanasana,right_shoulder_angle,83.1379,40.8833,1.8439,7.7552,158.5206
Paschimottanasana,right_elbow_angle,134.3779,33.9587,1.2537,91.8024,176.9534
Paschimottanasana,left_hip_angle,52.5713,36.3072,2.8493,-50.8776,156.0202
Paschimottanasana,left_knee_angle,149.2110,45.5146,2.2474,46.9194,251.5026
Paschimottanasana,right_hip_angle,54.8469,36.9538,2.5579,-39.6768,149.3705
Paschimottanasana,right_knee_angle,147.5988,44.5723,1.4676,82.1844,213.0133
Prasarita Padottanasana,left_shoulder_angle,102.1625,49.2964,1.8008,13.3899,190.9352
Prasarita Padottanasana,left_elbow_angle,122.8869,41.0092,1.6951,53.3724,192.4014
Prasarita Padottanasana,right_shoulder_angle,101.1232,48.4231,1.6146,22.9391,179.3073
Prasarita Padottanasana,right_elbow_angle,121.5075,41.3068,1.7579,48.8945,194.1205
Prasarita Padottanasana,left_hip_angle,27.0591,23.4476,0.7457,9.5747,44.5435
Prasarita Padottanasana,left_knee_angle,171.4513,14.5901,0.5922,162.8113,180.0913
Prasarita Padottanasana,right_hip_angle,27.6411,22.9855,0.9048,6.8435,48.4386
Prasarita Padottanasana,right_knee_angle,171.0059,17.8649,0.4569,162.8440,179.1679
Trikonsana,left_shoulder_angle,103.1367,23.5766,1.5983,65.4531,140.8204
Trikonsana,left_elbow_angle,168.9938,15.3304,1.0031,153.6156,184.3719
Trikonsana,right_shoulder_angle,101.7523,26.0168,1.4360,64.3929,139.1117
Trikonsana,right_elbow_angle,168.3152,12.2836,1.2493,152.9692,183.6612
Trikonsana,left_hip_angle,112.1859,44.7264,1.4436,47.6188,176.7530
Trikonsana,left_knee_angle,173.3972,11.5454,0.9935,161.9270,184.8674
Trikonsana,right_hip_angle,89.9185,47.4929,1.4417,21.4494,158.3877
Trikonsana,right_knee_angle,173.5112,5.8460,1.9647,162.0253,184.9970
Urdhva Prasarita eka padasana,left_shoulder_angle,114.8246,42.4679,1.3555,57.2612,172.3880
Urdhva Prasarita eka padasana,left_elbow_angle,131.5226,38.2141,1.3136,81.3262,181.7191
Urdhva Prasarita eka padasana,right_shoulder_angle,113.6137,44.3083,1.1955,60.6440,166.5834
Urdhva Prasarita eka padasana,right_elbow_angle,130.5522,39.6921,1.4999,71.0194,190.0850
Urdhva Prasarita eka padasana,left_hip_angle,100.1015,65.9068,1.3553,10.7752,189.4277
Urdhva Prasarita eka padasana,left_knee_angle,159.0566,27.3495,0.7023,139.8496,178.2635
Urdhva Prasarita eka padasana,right_hip_angle,88.0643,72.1504,1.2261,-0.3960,176.5245
Urdhva Prasarita eka padasana,right_knee_angle,166.7598,14.2276,2.8827,125.7455,207.7741
Vrksasana,left_shoulder_angle,92.1628,66.3970,1.2482,9.2859,175.0397
Vrksasana,left_elbow_angle,96.9300,57.7710,1.3244,20.4175,173.4425
Vrksasana,right_shoulder_angle,92.6113,67.2620,1.2470,8.7352,176.4873
Vrksasana,right_elbow_angle,98.9172,58.0719,1.2969,23.6044,174.2299
Vrksasana,left_hip_angle,150.1738,30.8300,1.5566,102.1825,198.1651
Vrksasana,left_knee_angle,117.1766,70.0521,1.3840,20.2221,214.1312
Vrksasana,right_hip_angle,140.1268,31.4895,1.2635,100.3402,179.9135
Vrksasana,right_knee_angle,90.5494,70.2022,1.2657,1.6967,179.4020
Warrior ii pose,left_shoulder_angle,95.2009,18.9193,1.0415,75.4961,114.9056
Warrior ii pose,left_elbow_angle,168.8433,20.0794,0.5265,158.2706,179.4160
Warrior ii pose,right_shoulder_angle,94.9529,22.2214,0.7981,77.2182,112.6876
Warrior ii pose,right_elbow_angle,168.7244,19.6318,0.5691,157.5528,179.8960
Warrior ii pose,left_hip_angle,121.8471,21.9126,1.7979,82.4502,161.2440
Warrior ii pose,left_knee_angle,146.3350,34.2758,1.1836,105.7664,186.9035
Warrior ii pose,right_hip_angle,120.4601,23.3441,1.6714,81.4420,159.4781
Warrior ii pose,right_knee_angle,142.3094,31.8955,1.1476,105.7058,178.9131
Yoganidrasana,left_shoulder_angle,43.6894,39.3770,1.8058,-27.4173,114.7961
Yoganidrasana,left_elbow_angle,124.1146,41.7735,1.7034,52.9566,195.2727
Yoganidrasana,right_shoulder_angle,42.6927,34.8546,2.1273,-31.4526,116.8379
Yoganidrasana,right_elbow_angle,124.7384,46.0560,2.3589,16.0948,233.3821
Yoganidrasana,left_hip_angle,28.9161,39.1111,1.4859,-29.2000,87.0323
Yoganidrasana,left_knee_angle,127.0922,46.1690,2.2502,23.2006,230.9838
Yoganidrasana,right_hip_angle,31.2428,33.9729,1.6891,-26.1412,88.6267
Yoganidrasana,right_knee_angle,123.2783,44.2236,2.2479,23.8692,222.6874
